Customer id,Total chats,Total calls,Total Mails,Avg Chat Rating,Avg Call Rating,Avg Mail Rating,Call support,Total escallation,IM / VM,ALR
70978,454,298,10,3.99,2.82,2.47,1,5,75,1
72105,22,163,10,2.09,1.53,3.22,0,36,57,0
72213,220,200,10,1.76,1.76,3.79,1,32,74,0
72676,188,70,10,2.28,1.79,4.42,0,6,92,0
73321,318,70,10,1.79,2.99,4.28,0,2,61,0
73538,319,263,10,2.77,4.55,3.63,0,41,16,0
74406,77,19,10,3,1.48,3.54,0,20,54,0
70302,393,29,10,2.46,4.78,4.39,1,25,59,1
70517,200,213,10,3.88,4.43,3.51,0,7,22,1
70819,33,122,10,3.37,1,2.97,1,46,78,1
71973,60,18,10,4.21,2,3.31,1,22,56,1
72505,243,265,10,3.74,3.56,1.02,1,7,61,1
70324,128,86,11,3.58,4.38,3.68,1,41,57,1
71705,331,279,11,4.7,4.35,3.41,1,39,48,0
72895,46,131,11,4.56,4.86,3.39,0,44,38,0
72958,78,285,11,2.54,2.27,1.89,1,31,14,0
70604,83,60,11,2.48,2.14,3.08,1,29,2,1
70792,352,110,12,2.82,4.65,1.63,1,10,22,1
71849,170,190,12,3.64,3.6,4.37,0,39,23,0
74682,97,186,12,2.35,3.31,2.56,1,12,70,0
74723,451,163,12,3.95,4.75,1.97,1,49,2,0
74945,63,35,12,1.69,1.72,2.05,0,25,92,0
70134,60,124,12,3.17,3.64,2.83,1,2,83,1
71403,394,229,12,2.34,2.35,2.26,1,25,52,1
72417,403,125,12,3.34,1.23,3.46,0,33,46,1
72433,244,85,12,2.24,1.99,3.75,1,50,87,1
74017,440,39,12,3.4,1.11,4.9,1,10,95,1
70409,495,105,13,1.05,1.81,4.37,0,5,22,1
71178,467,278,13,1.23,4.57,3.09,0,8,16,0
71516,103,15,13,3.22,4.64,4.71,0,13,55,0
73022,195,208,13,4.31,1.47,4.68,1,30,86,0
73337,289,300,13,1.67,1.57,1.39,0,38,94,0
73419,280,231,13,2.36,3.02,1.85,0,11,23,0
74653,216,138,13,3.62,1.97,1.35,0,20,45,0
70565,158,228,13,1.71,1.87,2.45,1,5,56,1
71166,453,221,13,2.17,1.74,3.09,0,10,63,1
72150,126,183,13,2.52,4.42,3.32,1,43,27,1
73512,131,191,13,2.42,1.67,3.44,0,13,34,1
